"","ID","slope","rsq","Day","Hour","Min","Sample_code1","Sample_code2"
"1","1_478+479_7_28",0.415396359072649,0.999440076536708,0,0,0,0,479
"2","2_457+456_7_28",1.32976839237057,0.999756161142609,28,9,12,457,456
"3","3_461+462_7_28",0.0997332856905914,0.930736022078055,28,9,16,461,462
"4","4_452+453_7_28",0.116695715524084,0.980433833022393,28,9,19,452,453
"5","5_449+450_7_28",0.158235991503518,0.986429789840176,28,9,21,449,450
"6","6_444+445_7_28",0.214358192035046,0.984426744151348,28,9,24,444,445
"7","37_376_7_28",2.46959421402808,0.999854347393316,28,11,22,376,NA
"8","7_336_7_28",1.2196941461054,0.992790071274307,28,9,28,336,NA
"9","8_338_7_28",1.28781036151154,0.967894094883728,28,9,32,338,NA
"10","9_340_7_28",0.601266107317792,0.891718930097549,28,9,40,340,NA
"11","10_333_7_28",0.0103662079805961,0.209299424475349,28,9,43,333,NA
"12","11_336_7_28",1.40346096386875,0.994682308918026,28,9,48,336,NA
"13","12_339_7_28",4.77746856341851,0.99952670001993,28,9,52,339,NA
"14","13_341_7_28",2.33669791124226,0.999571099021317,28,9,57,341,NA
"15","14_330_7_28",0.564122734761113,0.991747166018764,28,10,0,330,NA
"16","15_332_7_28",0.197462534059946,0.910644203586403,28,10,5,332,NA
"17","0_NA_7_28",0.0631427689116467,0.883378836187016,28,10,4,0,NA
"18","16_334_7_28",1.11092402939304,0.999451888768595,28,10,8,334,NA
"19","17_331_7_28",1.3914341574289,0.9997609097095,28,10,13,331,NA
"20","18_348_7_28",0.698890745787,0.999888381342333,28,10,22,348,NA
"21","19_352_7_28",1.15325955629149,0.993866555265104,28,10,28,352,NA
"22","20_356_7_28",2.78166695596829,0.999783052846381,28,10,32,356,NA
"23","21_351_7_28",1.34355116323857,0.999529449927336,28,10,35,351,NA
"24","22_355_7_28",7.14841280653945,0.999389939845979,28,10,37,355,NA
"25","23_359_7_28",1.15522917047896,0.999623347787686,28,10,40,359,NA
"26","24_350_7_28",0.283319181717647,0.993856359886825,28,10,43,350,NA
"27","25_354_7_28",3.30685761498208,0.999850856887352,28,10,45,354,NA
"28","26_358_7_28",3.29228496710807,0.999566597687403,28,10,48,358,NA
"29","27_349_7_28",1.24086199070987,0.99701635295263,28,10,51,349,NA
"30","28_353_7_28",2.11462083043075,0.99974536799512,28,10,54,353,NA
"31","29_357_7_28",4.24687920898039,0.99997019937566,28,10,56,357,NA
